,Year,Team
8,1985,NJN
9,1985,BOS
10,1985,DET
11,1985,BOS
0,1984,DET
1,1984,PHI
2,1984,BOS
3,1984,BOS
4,1984,MIL
5,1984,NYK
6,1984,PHI
7,1984,DET
8,1984,WSB
9,1984,NJN
10,1984,BOS
11,1984,DET
0,1984,LAL
1,1984,LAL
2,1984,SAS
3,1984,DEN
4,1984,UTA
5,1984,SEA
6,1984,DEN
7,1984,UTA
8,1984,HOU
9,1984,PHO
10,1984,POR
11,1984,DAL
0,1983,DET
1,1983,BOS
2,1983,PHI
3,1983,PHI
4,1983,PHI
5,1983,MIL
6,1983,MIL
7,1983,NJN
8,1983,BOS
9,1983,PHI
10,1983,CHI
11,1983,DET
0,1983,LAL
1,1983,LAL
2,1983,PHO
3,1983,DEN
4,1983,SEA
5,1983,POR
6,1983,SEA
7,1983,SAS
8,1983,LAL
9,1983,SEA
10,1983,SAS
11,1983,DEN
0,1982,PHI
1,1982,BOS
2,1982,BOS
3,1982,DET
4,1982,CHI
5,1982,MIL
6,1982,NJN
7,1982,BOS
8,1982,NYK
9,1982,DET
10,1982,PHI
11,1982,MIL
0,1982,SAS
1,1982,SEA
2,1982,LAL
3,1982,UTA
4,1982,SEA
5,1982,LAL
6,1982,SEA
7,1982,HOU
8,1982,LAL
9,1982,PHO
10,1982,GSW
11,1982,DEN
0,1981,PHI
1,1981,ATL
2,1981,CHI
3,1981,CHI
4,1981,BOS
5,1981,BOS
6,1981,BOS
7,1981,NYK
8,1981,MIL
9,1981,PHI
10,1981,CLE
0,1981,SEA
1,1981,SAS
2,1981,LAL
3,1981,PHO
4,1981,UTA
5,1981,LAL
6,1981,PHO
7,1981,HOU
8,1981,PHO
9,1981,SEA
10,1981,KCK
0,1980,SAS
1,1980,ATL
2,1980,HOU
3,1980,PHI
4,1980,ATL
5,1980,WSB
6,1980,ATL
7,1980,BOS
8,1980,BOS
9,1980,NYK
10,1980,NYK
0,1980,MIL
1,1980,UTA
2,1980,LAL
3,1980,LAL
4,1980,SDC
5,1980,SEA
6,1980,PHO
7,1980,PHO
8,1980,SEA
9,1980,POR
10,1980,KCK
